,品目,,出し方,出し方のポイント等
け,化粧棚,,粗大ごみ,50cm未満のものは燃やすごみへ
け,化粧箱(紙箱),,古紙(雑誌・その他の紙）,
け,化粧板,,粗大ごみ,50cm未満のものは燃やすごみへ
け,化粧パック,,燃やすごみ,
け,化粧パフ,,燃やすごみ,
け,化粧品の容器のフタ,,プラスチック製容器包装,
け,化粧品の容器(びん),,燃えないごみ,プラスチック製のふたはプラスチック製容器包装へ。中身は使い切って
け,化粧品の容器(プラスチック製),,プラスチック製容器包装,中身を使い切って
け,削り節器,,燃やすごみ,
け,毛玉取り機,,燃やすごみ,
け,ケチャップの外包装,,プラスチック製容器包装,
け,ケチャップの容器,,プラスチック製容器包装,
け,血糖測定器,◎,医療機関・薬局または燃やすごみ,燃やすごみへ出す場合は、針を中身が確認できる硬い容器等に入れて出す
け,血圧計,◎,燃やすごみ,電池・充電池等は抜く。 充電式で充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。 ガラス製や水銀血圧計は燃えないごみへ。
け,結露シート,,燃やすごみ,
け,毛抜き・とげ抜き,,小さな金属類,プラスチック製のものは燃やすごみへ
け,ケミカルライト,,燃やすごみ,
け,牽引フック,,小さな金属類,30㎝以上のものは粗大ごみ
け,牽引ロープ,,燃やすごみ,けん引ロープ
け,健康器具,,粗大ごみ,主な材質が金属以外のもので、一番長い辺が50cm未満のものは燃やすごみへ。金属製で一番長い辺が30cm未満のものは小さな金属類へ
け,剣山,,小さな金属類,新聞紙等に包み品名を表示する
け,けん玉,,燃やすごみ,
け,剣道防具,,燃やすごみ,50cm以上のものは粗大ごみへ
け,顕微鏡(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
け,顕微鏡(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
け,研磨剤(アルミチューブ),,小さな金属類,中身を使い切って キャップはプラスチック製容器包装へ
け,ケーキサーバー(金属製),,小さな金属類,
け,ケーキサーバー(金属製以外),,燃やすごみ,
け,ケーキの台紙,,燃やすごみ,
け,ケーキフィルム,,プラスチック製容器包装,
け,ケーブル,◎,燃やすごみ,
け,ケーブルステッカー,,小さな金属類,プラスチック製のものは燃やすごみへ
け,ケーブルタイ,,燃やすごみ,金属製のものは小さな金属類へ
け,ケーブルホルダー,,燃やすごみ,
け,ケーブルモール,,粗大ごみ,50cm未満のものは燃やすごみへ
け,下駄箱,,粗大ごみ,
け,弦,,燃やすごみ,金属製のものは小さな金属類へ
け,原稿用紙,,古紙(雑誌・その他の紙）,
け,現像液,,販売店へ相談,
け,ゲートボールのスティック(金属製),,粗大ごみ,畳んで30㎝未満のものは小さな金属類へ
け,ゲートボールのスティック(金属製以外),,粗大ごみ,50㎝未満のものは燃やすごみへ
け,ゲートボール(球),,燃やすごみ,
け,ゲームカード,,古紙(雑誌・その他の紙）,
け,ゲーム機(家庭用ゲーム機),◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
け,ゲームコントローラー,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
け,ゲームソフト(ケース含む),,燃やすごみ,
け,ゲームパッド,,燃やすごみ,
こ,小石,,燃えないごみ,
こ,鯉のぼり,,燃やすごみ,畳んで50cm以上のもの及びポールは粗大ごみへ
こ,コイル,,小さな金属類,
こ,コイン,,小さな金属類,
こ,コインケース,,燃やすごみ,
こ,コイントレイ(金属製),,小さな金属類,
こ,コイントレイ(プラスチック製),,燃やすごみ,
こ,高圧ガスボンベ,,販売店へ相談,
こ,高圧洗浄機・スチーム掃除機(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
こ,耕運機(家庭用の小型のもの),,粗大ごみ,
こ,工具箱(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
こ,工具箱(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
こ,抗原検査キット,,燃やすごみ,ごみ袋は空気を抜いて、しっかりしばって封をする
こ,口腔洗浄器,,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
こ,工作に使ったペットボトル,,燃やすごみ,マジック・ボンド等の付着がなく、単に二つに切ったものや切り込みを入れたもので、ペットマークが確認できる部分は缶・びん・ペットボトルへ
こ,香水の容器(びん),,燃えないごみ,プラスチック製のふたはプラスチック製容器包装へ
こ,香水の容器(プラスチック製),,プラスチック製容器包装,
こ,鉱石,,燃えないごみ,50cm以上のものは粗大ごみへ
こ,紅茶(ティーバッグ)の個別包装紙,,古紙(雑誌・その他の紙）,
こ,紅茶(ティーバッグ)の箱(紙製),,古紙(雑誌・その他の紙）,折りたたんで
こ,紅茶(ティーバッグ)の箱(プラスチック製),,プラスチック製容器包装,
こ,紅茶の缶,,缶・びん・ペットボトル,
こ,紅茶(ティーバッグ),,燃やすごみ,
こ,高度計(金属製),,小さな金属類,
こ,高度計(プラスチック製),,燃やすごみ,
こ,広報誌,,古紙(雑誌・その他の紙）,
こ,香炉(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
こ,香炉(陶器製),,燃えないごみ,50cm以上のものは粗大ごみへ
こ,氷枕,,燃やすごみ,金属部分は小さな金属類へ
こ,小型血糖測定器専用電極,,燃やすごみ,
こ,呼吸器官用薬(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
こ,黒板,,粗大ごみ,木製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
こ,黒板消し,,燃やすごみ,
こ,固形化した廃油,,燃やすごみ,
こ,固形燃料,,燃やすごみ,
こ,こけし,,燃やすごみ,50cm以上のものは粗大ごみへ
こ,コサージュ,,燃やすごみ,
こ,濾し器(金属製),,小さな金属類,
こ,腰袋,,燃やすごみ,
こ,コゼー,,燃やすごみ,
こ,こたつ,,粗大ごみ,
こ,こたつカバー(こたつ布団のカバー),,古布,洗濯して乾かしてから
こ,こたつ敷き,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
こ,こたつ、テーブル、椅子の足,,燃やすごみ,50cm以上のものは粗大ごみへ。金属製で30㎝以上のものは粗大ごみへ、金属製で30cm未満のものは小さな金属類へ
こ,こたつヒーターユニット,,小さな金属類,30cm以上のものは粗大ごみへ
こ,こたつ布団,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
こ,コップ立て(金属製),,小さな金属類,
こ,コップ立て,,燃やすごみ,
こ,コップ(プラスチック製),,燃やすごみ,
こ,コップ(金属製),,小さな金属類,
こ,骨壺,,燃えないごみ,中身を空にして。
こ,コテ(金属製),,小さな金属類,金属製以外のものは燃やすごみへ
こ,子ども用いす,,燃やすごみ,50cm以上のものは粗大ごみへ フレームが金属製の物は、粗大ごみへ。
こ,子ども用敷きマット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
こ,子ども用布団,,燃やすごみ,畳んで50cm以上のものは粗大ごみ
こ,粉チーズの容器(プラスチック製),,プラスチック製容器包装,紙製のものは燃やすごみへ
こ,粉ミルクの缶,,缶・びん・ペットボトル,
こ,コネクター,,燃やすごみ,
こ,琥珀,,燃やすごみ,指輪など金属がついているものは小さな金属類へ
こ,コバエ捕獲殺虫剤,,燃やすごみ,
こ,コピー用紙,,古紙(雑誌・その他の紙）,
こ,独楽(こま),,燃やすごみ,金属製のものは小さな金属類へ
こ,独楽(金属製),,小さな金属類,
こ,駒(将棋・チェス等),,燃やすごみ,陶器・ガラス製のものは燃えないごみ、金属製のものは小さな金属類へ
こ,小麦粉等の袋(紙製),,燃やすごみ,
こ,小麦粘土,,燃やすごみ,
こ,米びつ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
こ,米びつ,,燃やすごみ,50㎝以上のものは粗大ごみへ
こ,米袋(紙製),,古紙(雑誌・その他の紙）,裏面がビニールコーティングされているものは燃やすごみへ。ビニールコーティングは、手で切るとビニール部分が破れずに残ります。
こ,米袋(ビニール製),,プラスチック製容器包装,麻製のものは燃やすごみへ
こ,コルク製のふた,,燃やすごみ,
こ,コルク(栓),,燃やすごみ,
こ,コルクボード,,燃やすごみ,50cm以上のものは粗大ごみへ
こ,コルクマット,,燃やすごみ,50cm以上のものは粗大ごみへ
こ,コレクションボックス,,燃やすごみ,50㎝を超えるものは粗大ごみ
こ,コンクリートパネル,,粗大ごみ,
こ,コンクリートブロック,,燃えないごみ,「廃棄します」「ごみです」等、明示する。50cm以上のものは粗大ごみへ
こ,コンセント(プラスチックカバー),,燃やすごみ,金属カバーのものは小さな金属類へ
こ,コンソールボックス,,燃やすごみ,50cm以上のものは粗大ごみへ
こ,コンタクトケース(保存ケース),,燃やすごみ,使い捨てタイプのレンズが入っていた容器はプラへ
こ,コンタクトレンズ,,燃やすごみ,
こ,コンタクトレンズ洗浄液ボトル,,プラスチック製容器包装,
こ,コンタクトレンズ洗浄機,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
こ,コンタクトレンズ(使い捨て)の容器,,プラスチック製容器包装,
こ,昆虫標本,,燃やすごみ,ピンは小さな金属類へ(新聞紙等に包み品名を表示)
こ,コンテナボックス,,粗大ごみ,50cm未満のものは燃やすごみへ
こ,コンデンサ,,小さな金属類,
こ,コンバイン袋,,燃やすごみ,
こ,コンパクト(鏡付き),,プラスチック製容器包装,金属製のものは小さな金属類へ
こ,コンパス(金属製),,小さな金属類,金属製以外のものは燃やすごみへ
こ,コンプレッサー,,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
こ,梱包紙,,古紙(雑誌・その他の紙）,
こ,梱包シート(購入した商品を梱包していたもの),,プラスチック製容器包装,
こ,梱包シート(製品として購入したもの),,燃やすごみ,
こ,梱包バンド,,燃やすごみ,梱包バンドに付ける持ち手も燃やすごみ
こ,梱包用緩衝シート(プラスチック製),,プラスチック製容器包装,製品として購入したものは燃やすごみへ
こ,コーキングガン(金属製),,小さな金属類,30cm以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ
こ,コーキング材容器(プラスチック製),,プラスチック製容器包装,アルミチューブのものは小さな金属類へ
こ,コースター(セラミック・陶器製・珪藻土),,燃えないごみ,石綿(アスベスト)含有の珪藻土製品は、市では収集できません。回収方法等については、販売店・メーカーへお問合せください。詳しくは 市ホームページ へ。
こ,コースター(木製・プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ 陶器・ガラス製のものは燃えないごみへ
こ,コート,,古布,洗濯して乾かしてから。皮製は燃やすごみへ
こ,コートスタンド,,粗大ごみ,50㎝未満のものは燃やすごみへ
こ,コードレス電話,◎,燃やすごみ,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
こ,コーナーガード,,燃やすごみ,
こ,コーヒーカプセル,,プラスチック製容器包装,プラマークのないものは燃やすごみへ。
こ,コーヒーがら,,燃やすごみ,
こ,コーヒー・ティーメーカー(ガラス製),,燃えないごみ,50㎝以上のものは粗大ごみへ
こ,(インスタント)コーヒーのびん,,缶・びん・ペットボトル,
こ,(インスタント)コーヒーのびんの内フタ,,燃やすごみ,
こ,(インスタント)コーヒーのびんのキャップ,,プラスチック製容器包装,
こ,コーヒーフィルター,,燃やすごみ,未使用のものは古紙(雑誌・その他の紙)へ
こ,コーヒーミル(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
こ,コーヒーミル(木製・プラスチック製),,燃やすごみ,
こ,コーヒー・ティーメーカー(金属製),◎,小さな金属類,ガラス製ポットは取り外して燃えないごみ、プラスチック製は燃やすごみへ。30㎝以上のものは粗大ごみへ
こ,コーヒー・ティーメーカー(プラスチック製),◎,燃やすごみ,ガラス製ポットは取り外して燃えないごみへ 50㎝以上のものは粗大ごみへ
こ,碁石,,燃えないごみ,プラスチック製のものは燃やすごみへ
こ,ゴキブリ駆除剤(粘着シート製),,燃やすごみ,
こ,ゴキブリ駆除剤(プラケースに薬剤の入ったもの),,燃やすごみ,
こ,ござ,,燃やすごみ,折りたたんでも50㎝以上のものは粗大ごみへ
こ,碁笥,,燃やすごみ,
こ,五徳,,小さな金属類,
こ,碁盤,,燃やすごみ,50㎝以上のものは粗大ごみへ
こ,ごみネット,,燃やすごみ,
こ,ごみ箱(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
こ,ごみ箱のふた,,燃やすごみ,金属製のものは小さな金属類へ
こ,ごみ箱(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。「廃棄します」「ごみです」等、明示する
こ,ゴミ袋,,燃やすごみ,
こ,ゴム管,,燃やすごみ,
こ,ゴムシート,,燃やすごみ,
こ,ゴム製品,,燃やすごみ,
こ,ゴム栓,,燃やすごみ,
こ,ゴムチューブ,,燃やすごみ,
こ,ゴム手袋・ゴム長靴,,燃やすごみ,
こ,ゴムハンマー,,燃やすごみ,
こ,ゴムひも,,燃やすごみ,
こ,ゴムベラ,,燃やすごみ,
こ,ゴムボート,,燃やすごみ,畳んで50cm以上のものは粗大ごみ
こ,ゴムボール,,燃やすごみ,
こ,ゴムポール,,粗大ごみ,50㎝未満のものは燃やすごみへ
こ,ゴムマット,,燃やすごみ,50cm以上のものは粗大ごみへ
こ,ゴルフクラブのカバー,,燃やすごみ,
こ,ゴルフティー,,燃やすごみ,
こ,ゴルフネット・ピッチングネット,,粗大ごみ,ネット部分だけを出す場合は、燃やすごみへ
こ,ゴルフの練習器具(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
こ,ゴルフの練習器具(金属製以外),,燃やすごみ,50cm以上のものは粗大ごみへ
こ,ゴルフボール,,燃やすごみ,
こ,ゴルフ用具(クラブ、バッグ),,粗大ごみ,
こ,ゴルフ用マーカー(金属製),,小さな金属類,
こ,ゴルフ用マーカー(プラスチック製),,燃やすごみ,
こ,ゴーカート,,粗大ごみ,
こ,ゴーグル,,燃やすごみ,
こ,コーヒーメジャー,,小さな金属類,木製・プラスチック製のものは燃やすごみへ
こ,ごみ袋スタンド,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製・プラスチック製で50㎝未満のもは、燃やすごみへ。
さ,災害廃棄物,,その他,「生活ごみ」と「片付けごみ」に分けて排出。 地震などの大規模災害時における、収集開始時期や収集方法などの情報は、本市・区のホームページやSNSをはじめ、各地域防災拠点の掲示板等に掲示するなどしてお知らせします。 詳しくは市HPを参照 。
さ,サイクルコンピューター,◎,燃やすごみ,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
さ,サイクルメーター,◎,燃やすごみ,充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
さ,サイコロ,,燃やすごみ,
さ,祭壇,,粗大ごみ,
さ,裁断機(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
さ,サイディング,,粗大ごみ,50㎝未満のものは燃えないごみへ 、30cm以下のものは小さな金属類へ
さ,サイドテーブル,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
さ,サイドボード,,粗大ごみ,
さ,サイドミラー・バックミラー(車・バイク用),,燃えないごみ,プラスチックのカバー部分の割合が多いものは、燃やすごみへ。 金属製のカバー部分の割合が多いがのものは小さな金属類へ
さ,財布,,燃やすごみ,
さ,裁縫箱,,燃やすごみ,
さ,作業服(つなぎ),,古布,
さ,柵(金属製以外),,粗大ごみ,50㎝未満のものは燃やすごみへ
さ,搾乳器,◎,燃やすごみ,ガラス製の哺乳瓶は外して、燃えないごみへ。 電池は外して。充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
さ,酒びん(ガラス製),,缶・びん・ペットボトル,
さ,酒びん(陶器製),,燃えないごみ,
さ,酒類の紙パック,,燃やすごみ,内側がアルミでないものは水洗いして切り開き、古紙(紙パック)へ
さ,酒の入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認
さ,差込形電線コネクタ,,燃やすごみ,
さ,指し棒,,小さな金属類,
さ,サスペンダー,,燃やすごみ,
さ,さすまた,,粗大ごみ,
さ,サッカーゴール(家庭用),,粗大ごみ,プラスチック製で、各パーツが50㎝未満になるものは、燃やすごみへ
さ,殺鼠剤の容器,,プラスチック製容器包装,使い切って出す。袋に入ったまま使用するタイプのものは燃やすごみへ
さ,殺虫剤(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
さ,殺虫剤の包装フィルム,,プラスチック製容器包装,
さ,殺虫剤のボトル,,プラスチック製容器包装,使い切って出す。電気式の殺虫剤機器に使う液体ボトルも対象。エアゾール缶タイプのものはスプレー缶へ。
さ,殺虫剤(薬剤蒸散式),,プラスチック製容器包装,薬剤反応で成分を噴出し、使いきりのもの(容器)。内側の金属容器は小さな金属類へ
さ,殺虫剤(電池・電気式),,燃やすごみ,乾電池・コンセントを使用し、継続して使えるもの
さ,殺虫灯,,燃やすごみ,
さ,サニタリーバッグ,,燃やすごみ,
さ,サニタリーボックス(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ。陶器製のものは燃えないごみへ
さ,サプリメントの容器(プラスチック製),,プラスチック製容器包装,
さ,サポーター,,燃やすごみ,
さ,サマーベッド,,粗大ごみ,
さ,さらし,,古布,洗濯して乾かしてから。
さ,皿立て(金属製),,小さな金属類,
さ,皿立て(プラ・木製),,燃やすごみ,
さ,サラダスピナー,,燃やすごみ,ガラスボウルは燃えないごみへ。蓋が金属製の場合は小さな金属類へ
さ,三角コーナー,,燃やすごみ,金属製のものは小さな金属類へ
さ,三角表示板,,燃やすごみ,
さ,三脚(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
さ,三脚(カーボン製),,燃やすごみ,50cm以上のものは粗大ごみへ
さ,サングラス(レンズがガラス製),,燃えないごみ,新聞紙等に包み品名を表示する
さ,サングラス(レンズがプラスチック製),,燃やすごみ,
さ,サンゴ(工芸品),,燃やすごみ,
さ,散水器,,燃やすごみ,金属製の場合は小さな金属類へ
さ,散水スプリンクラー,,燃やすごみ,金属製のものは小さな金属類へ
さ,酸素缶,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
さ,酸素マスク,,燃やすごみ,
さ,サンダル,,燃やすごみ,
さ,サンドイッチの包み,,プラスチック製容器包装,
さ,サンドイッチメーカー,,燃やすごみ,金属製のものは小さな金属類へ
さ,サンドバック,,粗大ごみ,
さ,サンバイザー,,燃やすごみ,
さ,サンプラー,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。 50cm以上のものは粗大ごみへ。
さ,三輪車,,粗大ごみ,
さ,サーフボード,,粗大ごみ,
さ,サーフボードケース,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
さ,サーモマグ,,小さな金属類,
さ,在宅医療用のビニールバッグ・チューブ・カテーテル類,,燃やすごみ,プラマークがあるものでも、燃やすごみへ。 針がついているものは医療機関・薬局または燃やすごみ(中身が確認できる堅い容器に入れて蓋を閉めて出す)。
さ,材木,,粗大ごみ,50cm未満のものは燃やすごみへ
さ,雑誌(月刊誌、週刊誌、漫画本),,古紙(雑誌・その他の紙）,
さ,雑誌の紙以外(ビニール、革、布)の表紙,,燃やすごみ,
さ,雑誌の切り抜き,,古紙(雑誌・その他の紙）,
さ,雑紙(ざつがみ),,古紙(雑誌・その他の紙）,
さ,座布団,,燃やすごみ,一番長い辺が50㎝以上のものは粗大ごみへ
さ,ざる,,燃やすごみ,金属製のものは小さな金属類へ
し,飼育ケース(プラスチック製・木製),,燃やすごみ,50cm以上のものは粗大ごみへ、ガラス製のものは燃えないごみへ
し,シェイカー,,小さな金属類,プラスチック製のものは燃やすごみへ
し,シェイカーボトル(プラスチック製),,燃やすごみ,
し,シェルフ,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
し,シェードカーテン(布地部分),,古布,洗濯して乾かしてから
し,シェーバースタンド,,燃やすごみ,金属製は小さな金属類へ 陶器製は燃えないごみへ
し,シェービングクリーム,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
し,シェービングジェルの容器,,プラスチック製容器包装,ガラス瓶のものは燃えないごみ
し,しおり(紙製),,古紙(雑誌・その他の紙）,
し,しおり(金属製),,小さな金属類,
し,しおり(木製・プラスチック製),,燃やすごみ,
し,仕掛け網,,粗大ごみ,事業で排出するものは、事業系ごみ、家庭から出たもので50cm以下のものは燃やすごみへ
し,しかけ絵本,,古紙(雑誌・その他の紙）,プラスチック・布などのパーツは外して燃やすごみへ
し,歯間ブラシ,,燃やすごみ,
し,シガレットケース,,小さな金属類,木製・プラスチック製・革製のものは燃やすごみへ
し,敷石,,燃えないごみ,50cm以上のものは粗大ごみへ
し,色紙,,古紙(雑誌・その他の紙）,
し,指揮棒,,燃やすごみ,50センチ以上のものは粗大ごみ
し,敷物,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
し,試験管,,燃えないごみ,新聞等に包み品名を表示する。
し,刺しゅう枠(金属製),,小さな金属類,
し,刺しゅう枠(木・プラスチック製),,燃やすごみ,
し,下着類,,古布,洗濯して乾かしてから
し,下敷き(プラスチック製),,燃やすごみ,
し,七輪(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,七輪(陶器製),,燃えないごみ,50cm以上のものは粗大ごみへ
し,漆器,,燃やすごみ,
し,湿布,,燃やすごみ,
し,湿布の内袋,,燃やすごみ,プラマークのあるものはプラスチック製容器包装へ
し,湿布の外箱(紙製),,古紙(雑誌・その他の紙）,折りたたんで
し,湿布の表面に貼ってあるフィルム,,燃やすごみ,
し,湿度計,,燃えないごみ,プラスチック製のものは燃やすごみ
し,室内アンテナ(金属製),,小さな金属類,30cm以上のものは粗大ごみ
し,室内アンテナ(プラスチック製),,燃やすごみ,
し,室内物干し,,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
し,竹刀,,粗大ごみ,
し,芝刈り機,,粗大ごみ,
し,芝刈り機(ハンディタイプ),,燃やすごみ,刃は外して小さな金属類へ
し,芝刈りバリカン,,燃やすごみ,50cm以上のものは粗大ごみ。刃は小さな金属類へ
し,芝生(刈り取ったもの),,燃やすごみ,
し,しびん(プラスチック製),,燃やすごみ,汚物は流して洗う。ガラス製・陶器製のものは燃えないごみへ
し,シフトノブ,,燃やすごみ,金属製のものは小さな金属類へ 陶器製のものは燃えないごみへ
し,絞り器(金属製),,小さな金属類,プラスチック製のものは燃やすごみへ
し,しめ飾り,,燃やすごみ,50cmを越えるものは粗大ごみへ
し,遮音シート,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
し,尺八,,粗大ごみ,
し,遮光ネット,,燃やすごみ,
し,写真(印画紙),,古紙(雑誌・その他の紙）,
し,写真立て(ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ
し,写真立て(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,写真立て,,燃やすごみ,50cm以上のものは粗大ごみへ
し,写真パネル,,燃やすごみ,50cm以上のものは粗大ごみへ
し,写真引き伸ばし機,,粗大ごみ,
し,写真(ネガ),,燃やすごみ,
し,シャチハタ印,,燃やすごみ,
し,シャツオーガナイザー,,燃やすごみ,50cm以上のものは粗大ごみへ
し,シャベル(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,シャベル,,燃やすごみ,50cm以上のものは粗大ごみへ
し,シャボン玉液容器,,プラスチック製容器包装,
し,シャボン玉ストロー,,燃やすごみ,
し,しゃもじ,,燃やすごみ,
し,しゃもじ置き,,燃やすごみ,陶器製は燃えないごみ、金属製は小さな金属類へ
し,しゃもじ(金属製),,小さな金属類,
し,車輪止め(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,車輪止め(木製・ゴム製),,燃やすごみ,50cm以上のものは粗大ごみへ
し,シャワーカーテン,,燃やすごみ,
し,シャワーキャップ,,燃やすごみ,
し,シャワーチェアー,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
し,シャワーフック,,燃やすごみ,金属製のものは小さな金属類へ
し,シャワーヘッド(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
し,シャンデリア,,粗大ごみ,50cm未満のものは燃えないごみへ
し,シャンプーなど(詰め替え品が入っていた容器),,プラスチック製容器包装,
し,シャンプーハット,,燃やすごみ,
し,シャンプー(プラスチック製ボトル・チューブ)(ノズル含む),,プラスチック製容器包装,詰め替え用が入っていた袋も対象。空のボトルを商品として購入した場合は燃やすごみへ
し,シャープペンシルの芯ケース(プラスチック製),,プラスチック製容器包装,
し,シャーレ(ガラス製),,燃えないごみ,
し,シャーレ(金属製),,小さな金属類,
し,シャーレ(プラスチック製),,燃やすごみ,
し,収縮棚,,粗大ごみ,
し,修正液の容器,,プラスチック製容器包装,
し,修正テープ,,燃やすごみ,
し,収納袋,,燃やすごみ,
し,収納ボックス(布製),,燃やすごみ,50㎝を超えるものは粗大ごみ
し,収納ボックス(段ボール製),,古紙（段ボール）,つぶして、取っ手などははずす。
し,収納ボックス,,粗大ごみ,50cm未満のものは燃やすごみへ
し,収納用バッグ、ランドリーバッグ,,燃やすごみ,畳んで50㎝以上のものは粗大ごみ
し,シュシュ・髪ゴム,,燃やすごみ,
し,朱肉,,燃やすごみ,金属ケースのものは小さな金属類へ
し,シュノーケル,,燃やすごみ,
し,シュリンク,,プラスチック製容器包装,製品として購入したものは、燃やすごみへ
し,シュレッダーごみ(紙以外のもの),,燃やすごみ,
し,シュレッダーした紙類,,古紙(雑誌・その他の紙）,紙袋または半透明の袋に入れる
し,シュレッダー(手動:プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
し,シュレッダー(電動:プラスチック製),◎,燃やすごみ,50cm以上のものは粗大ごみへ
し,シューズキーパー,,燃やすごみ,
し,シューズケース・シューズバッグ,,燃やすごみ,
し,シューズスタンド,,粗大ごみ,
し,シューツリー(木型),,燃やすごみ,
し,背負子,,粗大ごみ,
し,庭園灯(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
し,庭園灯,,燃やすごみ,50cm以上のものは粗大ごみへ
し,消火器,,(株)消火器リサイクル推進センターへ,(株)消火器リサイクル推進センター03-5829-6773
し,将棋盤,,燃やすごみ,50cm以上のものは粗大ごみへ
し,消臭剤(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
し,消臭剤(スプレータイプ・置き型タイプ・詰め替え用),,プラスチック製容器包装,中身は使い切って。エアゾール缶のものはスプレー缶へ。
し,消臭剤(電池・電気式),,燃やすごみ,乾電池・コンセントを使用するもの。詰め替えカートリッジ(エアゾール缶)はスプレー缶へ
し,消臭シート,,燃やすごみ,
し,証書ホルダー,,燃やすごみ,全体が紙製のものは古紙(雑誌・その他の紙)へ
し,障子,,粗大ごみ,
し,障子紙(未使用),,古紙(雑誌・その他の紙）,使用したものは燃やすごみへ
し,賞状,,古紙(雑誌・その他の紙）,
し,賞状の筒(紙製),,古紙(雑誌・その他の紙）,
し,焼酎サーバー(陶器製),,燃えないごみ,50cm以上のものは粗大ごみへ
し,消毒液などのボトル(ガラス製),,燃えないごみ,
し,消毒液などのボトル(プラスチック製),,プラスチック製容器包装,ガラス製のものは燃えないごみへ
し,商品券,,古紙(雑誌・その他の紙）,
